code,user,repo,branch,stars,description
datagovuk-ckanext-taxonomy,datagovuk,ckanext-taxonomy,master,4,Hierarchical tags
okfn-ckanext-collaborators,okfn,ckanext-collaborators,master,4,User-level permissions for CKAN datasets
okfn-ckanext-apps,okfn,ckanext-apps,master,4,[DEPRECATED - now part of CKAN core as of v1.7] Apps and ideas catalogue extension for CKAN. Associate apps and ideas to datasets.
OCHA-DAP-ckanext-powerview,OCHA-DAP,ckanext-powerview,master,4,
ogdch-ckanext-ogdch,ogdch,ckanext-ogdch,develop,4,CKAN templates and translations for opendata.admin.ch
datopian-ckanext-montrosemaps,datopian,ckanext-montrosemaps,master,4,
alexbyrnes-ckanext-mongodb,alexbyrnes,ckanext-mongodb,master,4,CKAN extension for MongoDB
datopian-ckanext-gosh,datopian,ckanext-gosh,master,4,Extension  for housing custom modification to the ckan gosh portal
NaturalHistoryMuseum-ckanext-dev,NaturalHistoryMuseum,ckanext-dev,master,4,CKAN extention for development tools.
datopian-ckanext-birmingham,datopian,ckanext-birmingham,master,4,
datopian-ckanext-abtassociates,datopian,ckanext-abtassociates,master,4,
etalab-ckanext-fedmsg,etalab,ckanext-fedmsg,master,4,CKAN extension for sending activity events to the Fedora Infrastructure Message Bus (fedmsg)
datopian-ckanext-aircan,datopian,ckanext-aircan,master,4,The custom extension for notifying(triggering) the Airflow DAG about the data to be uploaded to DataStore
Helsingin-kaupungin-tietokeskus-ckanext-hrifi,Helsingin-kaupungin-tietokeskus,ckanext-hrifi,master,4,CKAN theme for ckan.hri.fi
srkunze-ckanext-semantic,srkunze,ckanext-semantic,master,4,integration of lodstats and personalization features based on it
datopian-ckanext-panamatheme,datopian,ckanext-panamatheme,master,4,
okfn-ckanext-csw,okfn,ckanext-csw,master,4,
datopian-ckanext-logstash,datopian,ckanext-logstash,master,4,
etalab-ckanext-oauth2,etalab,ckanext-oauth2,master,4,OAuth2 support for CKAN
EnviDat-ckanext-envidat_theme,EnviDat,ckanext-envidat_theme,master,4,Extension to to customize the content and appearance of CKAN for the Envidat project (WSL)
datarefuge-ckanext-datarefuge_theme,datarefuge,ckanext-datarefuge_theme,master,4,CKAN Theme for Data Refuge Repository
datopian-ckanext-datastore-bigquery,datopian,ckanext-datastore-bigquery,master,4,An extension that backs CKAN's datastore on Google BigQuery
datopian-ckanext-dataexplorer-react,datopian,ckanext-dataexplorer-react,master,4,A new Data Explorer for CKAN built on React.
aptivate-ckanext-syndicate,aptivate,ckanext-syndicate,master,3,A CKAN plugin that allows syndication (pushing) of datasets to another ckan repository
nhsengland-ckanext-adfs,nhsengland,ckanext-adfs,master,3,Active Directory authentication for CKAN
davidread-ckanext-downloadall,davidread,ckanext-downloadall,master,3,"CKAN extension that adds a ""Download all"" button to datasets"
conwetlab-ckanext-storepublisher,conwetlab,ckanext-storepublisher,master,3,CKAN extension to publish public datasets in the FIWARE Store as offerings
datagovau-ckanext-ga-report,datagovau,ckanext-ga-report,dga-master,3,Google analytics report for CKAN
rossjones-ckanext-gdoc,rossjones,ckanext-gdoc,master,3,A previewer for CKAN that uses the Google Doc Previewer to view documents
OpenGov-OpenData-ckanext-bostonschema,OpenGov-OpenData,ckanext-bostonschema,master,3,
developmentseed-ckanext-mvt,developmentseed,ckanext-mvt,develop,3,CKAN extension to generate Vector Tiles from vector data
EUDAT-B2FIND-ckanext-b2find,EUDAT-B2FIND,ckanext-b2find,master,3,B2FIND extension for CKAN
GSA-ckanext-extlink,GSA,ckanext-extlink,master,3,
abgov-ckanext-workflow,abgov,ckanext-workflow,master,3,
yacme-ckanext-googleauth,yacme,ckanext-googleauth,master,3,CKAN extension for use Google as authentication authority
redlink-gmbh-ckanext-redlink,redlink-gmbh,ckanext-redlink,master,3,CKAN extension to connect to Redlink triple store.
okfn-ckanext-importlib,okfn,ckanext-importlib,master,3,
okfn-ckanext-tsbsatellites,okfn,ckanext-tsbsatellites,master,3,repo for Satellites Catapult's CKAN
GSA-ckanext-dcat_usmetadata,GSA,ckanext-dcat_usmetadata,main,3,
CityOfPhiladelphia-ckanext-highlight-related-items,CityOfPhiladelphia,ckanext-highlight-related-items,master,3,Surface a dataset's related items more visibly
okfn-ckanext-resourcesfilter,okfn,ckanext-resourcesfilter,master,3,Interactive paginated resources list for the CKAN dataset page
ckan-ckanext-rq,ckan,ckanext-rq,master,3,Backport of RQ background jobs for CKAN versions before 2.7.0
datopian-ckanext-honduras,datopian,ckanext-honduras,master,3,
